6, 2022/05/12 16:24:17.189, 61.56 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:18.196, 60.97 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:19.202, 62.03 , 1350 MHz, 7000 MHz, 1350 MHz
6, 2022/05/12 16:24:20.261, 60.23 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:21.263, 61.32 , 1350 MHz, 7000 MHz, 1350 MHz
6, 2022/05/12 16:24:22.268, 61.29 , 1350 MHz, 7000 MHz, 1350 MHz
6, 2022/05/12 16:24:23.271, 61.63 , 1350 MHz, 7000 MHz, 1350 MHz
6, 2022/05/12 16:24:24.274, 61.10 , 1350 MHz, 7000 MHz, 1350 MHz
6, 2022/05/12 16:24:25.277, 61.07 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:26.280, 60.23 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:27.283, 60.64 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:28.287, 59.95 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:29.290, 60.12 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:30.294, 61.20 , 1350 MHz, 7000 MHz, 1350 MHz
6, 2022/05/12 16:24:31.297, 60.95 , 1350 MHz, 7000 MHz, 1350 MHz
6, 2022/05/12 16:24:32.303, 61.60 , 1350 MHz, 7000 MHz, 1350 MHz
6, 2022/05/12 16:24:33.318, 60.61 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:34.321, 60.56 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:35.324, 60.36 , 1350 MHz, 7000 MHz, 1350 MHz
6, 2022/05/12 16:24:36.345, 60.98 , 1350 MHz, 7000 MHz, 1350 MHz
6, 2022/05/12 16:24:37.351, 60.81 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:38.354, 60.02 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:39.359, 59.73 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:40.364, 59.88 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:41.367, 60.20 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:42.372, 59.74 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:43.377, 60.53 , 1350 MHz, 7000 MHz, 1350 MHz
6, 2022/05/12 16:24:44.381, 60.80 , 1350 MHz, 7000 MHz, 1350 MHz
6, 2022/05/12 16:24:45.385, 60.18 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:46.388, 60.44 , 1350 MHz, 7000 MHz, 1350 MHz
6, 2022/05/12 16:24:47.400, 60.63 , 1350 MHz, 7000 MHz, 1350 MHz
6, 2022/05/12 16:24:48.403, 60.97 , 1350 MHz, 7000 MHz, 1350 MHz
6, 2022/05/12 16:24:49.406, 60.84 , 1350 MHz, 7000 MHz, 1350 MHz
